NOMBRE;TIPOS COLONIAS ID;CODIGOS POSTALES MUNICIPIOS ID
EMILIANO ZAPATA;1;19294
FRUMENCIO PULIDO MINA;1;19294
GUADALUPE VICTORIA;9;19294
IGNACIO ZARAGOZA;1;19294
JOSEFA ORTIZ DE DOMÍNGUEZ;1;19294
MÉXICO;1;19294
OBRERA;1;19294
INDEPENDENCIA;1;19294
EL CONEJO;1;19294
27 DE FEBRERO;1;19294
ZACATIXPAN;9;19294
TIERRA ALTA;9;19294
LAS FLORES;1;19294
ARROYO METATE;13;19295
AMPLIACIÓN MÉXICO;1;19295
MIXTAN;9;19295
NIÑOS HÉROES;1;19295
OAXACA;1;19295
PARAÍSO ZACATAL;9;19295
REFORMA;1;19295
INFONAVIT;1;19295
DERECHOS HUMANOS;1;19295
LIBERTAD;1;19295
INFONAVIT EL REFUGIO;4;19295
EL TRIUNFO;9;19295
BENITO JUÁREZ;1;19296
FLORESTA;1;19296
JUAN LÓPEZ CRUZ;1;19296
LA SOLEDAD;9;19296
MIGUEL HIDALGO;1;19296
